epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.083,1.48173,3.59262,1.83882,0.03845,0.92875,0.20693,0.11781,1.06475,4.06455,1.75828,0.0002222,0.0002222,0.0002222
2,475.363,1.28357,3.231,1.64263,0.01696,0.98851,0.19484,0.0932,1.29897,4.0955,1.97589,0.000451,0.000451,0.000451
3,658.852,1.33791,2.83794,1.6925,0.84518,0.06125,0.23936,0.12127,1.27936,3.83967,1.98315,0.000675181,0.000675181,0.000675181
4,876.657,1.35811,2.46117,1.63872,0.58523,0.39163,0.23757,0.10628,1.55334,3.61344,2.29807,0.000894743,0.000894743,0.000894743
5,1069.01,1.37851,2.24001,1.65919,0.32941,0.53759,0.38088,0.18848,1.43327,3.11948,2.17721,0.001067,0.001067,0.001067
6,1338.95,1.37148,2.08927,1.64942,0.33902,0.50251,0.39379,0.1849,1.42534,3.07168,2.08399,0.00105601,0.00105601,0.00105601
7,1521.6,1.37858,2.06556,1.6351,0.26907,0.42278,0.29802,0.15513,1.34498,2.99465,1.94569,0.00104501,0.00104501,0.00104501
8,1742.75,1.36726,2.00975,1.63509,0.29872,0.47335,0.39266,0.18405,1.35797,2.84522,1.97109,0.00103401,0.00103401,0.00103401
9,1956.39,1.30483,1.93285,1.61037,0.38447,0.59394,0.42522,0.20508,1.45912,2.53586,2.05482,0.00102301,0.00102301,0.00102301
10,2134.92,1.37717,1.81169,1.63902,0.52824,0.71098,0.64256,0.34822,1.46203,2.20704,2.04055,0.00101201,0.00101201,0.00101201
11,3079.32,1.32408,1.74616,1.57532,0.55931,0.67091,0.64153,0.32764,1.5631,2.16474,2.14207,0.00100101,0.00100101,0.00100101
12,3519.29,1.28936,1.72747,1.56391,0.77913,0.51655,0.64628,0.35605,1.47271,2.07398,2.03903,0.000990012,0.000990012,0.000990012
13,3941.48,1.30586,1.67366,1.53342,0.66304,0.78013,0.68383,0.40482,1.30813,2.13512,1.86468,0.000979013,0.000979013,0.000979013
