epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,897.268,1.29422,2.31677,1.75557,0.42665,0.54886,0.54248,0.25775,1.56505,2.93272,2.48383,0.000368168,0.000368168,0.000368168
2,1715.01,1.28766,1.76575,1.72961,0.66182,0.60235,0.59745,0.32355,1.56502,1.99274,2.49889,0.00073119,0.00073119,0.00073119
3,2528.92,1.32161,1.57409,1.73925,0.64498,0.53137,0.55618,0.28468,1.60878,1.71994,2.48627,0.00108688,0.00108688,0.00108688
4,3341.76,1.31201,1.41657,1.72241,0.48524,0.73095,0.60454,0.32118,1.63961,1.27511,2.4058,0.001078,0.001078,0.001078
5,4154.86,1.28805,1.39837,1.69212,0.55362,0.81208,0.70452,0.39017,1.48506,1.20587,2.24634,0.001067,0.001067,0.001067
6,4967.57,1.28266,1.28668,1.69238,0.56408,0.74606,0.69882,0.3908,1.52857,1.16375,2.2576,0.00105601,0.00105601,0.00105601
7,5781.62,1.26094,1.2615,1.67475,0.5347,0.75374,0.66724,0.36111,1.45925,1.08121,2.18979,0.00104501,0.00104501,0.00104501
8,6595.08,1.26411,1.22057,1.67035,0.54005,0.79301,0.73728,0.37346,1.66621,1.10928,2.38405,0.00103401,0.00103401,0.00103401
9,7408,1.23327,1.17681,1.64828,0.45907,0.64648,0.60492,0.37382,1.38266,1.10662,2.11741,0.00102301,0.00102301,0.00102301
10,8220.24,1.26296,1.15689,1.66588,0.6047,0.78943,0.7004,0.39002,1.51908,1.02274,2.22132,0.00101201,0.00101201,0.00101201
11,9040.99,1.23181,1.13606,1.64992,0.68646,0.80518,0.76198,0.41081,1.48398,1.00354,2.25621,0.00100101,0.00100101,0.00100101
12,9858.45,1.23511,1.12165,1.64374,0.60504,0.78975,0.74877,0.43939,1.42408,0.94932,2.13395,0.000990012,0.000990012,0.000990012
13,10678.8,1.2424,1.10745,1.64951,0.64998,0.82983,0.75787,0.45832,1.42116,0.85838,2.14432,0.000979013,0.000979013,0.000979013
14,11497.7,1.21817,1.09656,1.62683,0.53743,0.80178,0.68288,0.405,1.44543,0.96546,2.16195,0.000968014,0.000968014,0.000968014
15,12318.2,1.22385,1.07651,1.63847,0.64948,0.79664,0.73524,0.42377,1.43743,0.97854,2.1781,0.000957015,0.000957015,0.000957015
16,13163.1,1.21399,1.05597,1.62687,0.5813,0.83869,0.69809,0.42209,1.40669,0.88404,2.08555,0.000946016,0.000946016,0.000946016
17,14009.7,1.20899,1.05216,1.61811,0.61619,0.80874,0.76267,0.46928,1.37694,0.84318,2.11558,0.000935018,0.000935018,0.000935018
18,14830.8,1.21167,1.07305,1.62966,0.64396,0.71842,0.71954,0.42827,1.44646,0.90104,2.14474,0.000924019,0.000924019,0.000924019
19,15654.3,1.1925,1.03582,1.60936,0.65155,0.82375,0.74924,0.46209,1.383,0.85939,2.0993,0.00091302,0.00091302,0.00091302
20,16478.3,1.19702,1.02538,1.60958,0.6531,0.81457,0.7682,0.4629,1.36169,0.88672,2.08057,0.000902021,0.000902021,0.000902021
21,17301.6,1.19989,1.01312,1.61408,0.6961,0.80511,0.78243,0.45809,1.44543,0.82896,2.13105,0.000891022,0.000891022,0.000891022
22,18124.1,1.19348,1.00306,1.60918,0.66544,0.80583,0.78037,0.4813,1.37119,0.78985,2.10441,0.000880023,0.000880023,0.000880023
